216;Medicamento Alopático ( Manipulado / Industrializado )
217;Medicamento Homeopático / Fitoterápico ( Manipulado / Industrializado )
214;Outros Serviços ( Laboratório de Análises Clínicas / Clínicas Que Realizam Exames / Remoção )
215;Aparelho Corretivo ( Ortopédico / Auditivo / Prótese / Acessório )
212;Profissional Liberal - Dentista
213;Outros Profissionais Liberais ( Esteticista / Massagista / Farmacêutico )
210;Profissional Liberal - Médico
42;Fermento em pó e o biológico
127;Piscina ( Fibra ) / Sauna / Banheira de Hidromassagem
218;Cosméticos ( Pó Facial / Talco / Creme e Loção de Beleza e de Barbear / Batom / Sombra / Bronzeadores / Protetor Solar / Depilador / Esmalte / Clareador e Tintu
219;Produto de Higiene ( Absorvente / Fralda / Lenço de Papel Umedecidos / Papel Higiênico Perfumado / Sabonete / Shampoo / Condicionador / Creme e Escova Dental /
133;Combustível Automotivo ( Gasolina, Álcool, Diesel, Gás )
132;Vestuário ( Calçado / Roupa )
131;Carro Usado
130;Carro Importado
137;Internet
136;Telemarketing
135;Venda a Domicílio / Reembolso Postal
134;Produto de Uso Pessoal ( Barbeador, Depilador, Secador, Outros )
139;Eletrodoméstico Importado
138;Feiras Itinerantes
225;Venda Através de Reembolso Postal /  Domicílio
25;Peixes e frutos do mar (congelados e embalados)
26;Pratos prontos/pré preparados (tortas, pão de queijo, carnes recheadas cruas tipo marinados, nugets, salgadinhos, coxinhas, bolinhas de queijos e outros, pratos
224;Produto Para Uso Veterinário ( Medicamento / Sabonete / Shampoo )
20;Massas
23;Ovos
95;Aparelho de Som ( Gravador, 3x1, CD )
28;Pós para preparo (refresco, gelatina, pudim, bolos, pão de queijo, pizza e sorvete)
29;Ração animal
222;Produtos Correlatos ( Preservativo / Gaze / Esparadrapo / Curativo Adesivo / Agulha / Seringa / Termômetro / Inalador / Cotonetes )
288;Máquinas e Equipamentos
4;Açougue e Peixarias ( Produtos Crus Vendidos Neste Local )
281;Leiloeiro
280;CARTÕES DE DESCONTOS
283;Estabelecimento comercial (supermercado, loja, padaria, locadora, frutaria, etc.)
282;Seguro
285;Plano de saúde NÃO regulamentado
284;Plano de saúde regulamentado
287;Bicicletas
286;Plano Odontológico
227;Internet
120;Móveis Para Cozinha
121;Móveis Para Banheiro
122;Móveis Para Quarto
123;Móveis Para Sala
124;Móveis (outros)
125;Aquecedor / Ventilador / Ar Condicionado / Circulador de Ar
126;Produtos Doméstico ( Escada, Balança, Overloque, Máquina de Costura / Tricô, Vassoura, Escova, Rodo, Saco de Lixo, Palha de Aço )
264;Automóvel - Locação / Assistência Automobilística ( Clube do Automóvel, Etc. ) / Auto Escola
128;Plantas
129;Carro Nacional Zero ( Montadora )
59;Consórcio de Caminhões
58;Consórcio de Motocicletas
55;Cartão de Loja
54;Cartão de Crédito
57;Consórcio de Automóveis ou Automotores, Utilitários, Caminhonetes
56;Consórcio Imobiliário
62;Empresa de Cobrança
53;Banco comercial
259;TV Por Assinatura ( Cabo, Satélite, Etc. )
164;Assistência Técnica
201;Associações / Cooperativas / Sociedades Filantrópicas
199;Convênio de Assistência Médica / Odontológica
147;Seguro
195;CARTÕES DE DESCONTOS
191;Agências e Operadoras de viagens (pacotes turísticos)
203;Hospital / Pronto Socorro / Ambulatório / Clínica Médica
50;Alimentos nutraceuticos (alimentos com finalidade terapêutica)
115;Cortina / Persiana / Papel de Parede
68;Seguro Residencial
88;Acessório para Aparelho Eletrônico/Pilha/Elétrico (Agulha, fone de ouvido, bateria, etc.)
89;Acessório Para Veículo ( Alarme, Amortecedor, Câmbio, Buzina, Estofamento, Lâmpada, Bateria, etc.)
274;Serviços Telefônicos Especiais ( Disque 900 / Erótico, Etc. )
275;Transporte Escolar
276;Agências e Operadoras de viagens (pacotes turísticos)
69;Outros Seguros
82;Incorporação ( Construtoras e Incorporadoras )
279;Informática (Ex.:Provedor de Acesso a Internet)
80;Locação
81;Loteamento
119;Material de Escritório / Escola ( Arquivo, Borracha, Clipes, Grampeador, Sulfite, Caderno, Caneta, Apontador, Etc. )
87;Material de Construção (areia, cimento, tijolo, pregos, lajes, blocos, etc.)
84;Sociedade em conta de participação
143;Luminárias/lâmpadas
207;Óticas ( Lentes / Óculos )
206;Clínica Veterinária
226;Telemarketing
27;Alimento dietético (exceto refrigerante dietético)
3;Restaurante / Fast Food ( Refeições / Sanduíches Servidos Pelo Local )
7;Água
245;Clubes / Uso Compartilhado ( Lazer, Recreação, Férias, Etc. )
244;Hospedagem ( Hotel, Pousada, Chalé, Albergue, Etc. )
108;Artigo Esportivo / Lazer ( Bola, Raquete, Rede, Cotoveleira, Arma, Baralho, Roleta, Etc. )
246;Eventos ( Festas, Buffet, Formatura, Etc. )
240;Mudanças
243;Dedetizadora
102;Microcomputador / Produtos de Informática
103;Artigo de Cozinha ( Coifa, Exaustor, Panela, Talher, Filtro de Café, Porta-Filtro, Louças, Etc. )
100;Colchão
101;Telefone ( Convencional, Celular, Interfone, Etc. )
106;Artigo de Leitura ( Formal, Jornal, Revista, Folheto, Livros, Etc. )
248;Diversão / Lazer / Cultura ( Teatro, Cinema, Casa Noturna, Videolocadora, Etc. )
104;Fósforo
105;Artigo de Foto Imagem ( Filme, Ampliador, Luneta, Flash, Máquina Fotográfica, Binóculos, Etc. )
39;Complementos e suplementos nutricionais (óleo de fígado de bacalhau, levedo de cerveja, complexos vitamínicos e minerais, vitaminas e minerais isolados)
38;Alimentos para fins especiais (atletas, gestantes, idosos e bebidas isotônicas)
33;Frutas e hortaliças (legumes, verduras, cebola e cabeça de alho in natura, embaladas com atmosfera modificada ou outro sistema de conservação)
30;Refrigerantes (normal, dietético e light)
37;Óleos e gorduras (margarina normal e light, gordura vegetal hidrogenada, etc.)
247;Foto / Vídeo / Som
35;Produtos importados (todos os produtos)
109;Artigo Para Festa ( Bexiga, Máscara, Enfeites, Fogos, Balão, Etc. )
160;Clubes / Uso Compartilhado ( Lazer, Recreação, Férias, Etc. )
205;Clínica Geriátrica ( Casa de Repouso / Internato / Similares )
60;Consórcio de Outros Bens - Móveis Duráveis
61;Consórcio de Bilhetes de Passagem Aérea e Pacote Turístico
258;Consultoria / Assessoria / Agenciamento ( Recolocação Profissional, Agência de Empregada, de Casamento, Etc. )
63;Financeira
64;Empresa Privada / Montepio Pecúlio (tbareaassunto Não Relativos ao Valor de Resgate)
65;Corretora de Seguros
66;Seguro de Automóvel
67;Seguro de Vida
252;Instalação ( Hidráulica / Elétrica ) / Perfuração / Pavimentação / Impermeabilização
253;Construção / Reforma / Montagem / Acabamento
250;Oficinas ( Mecânica, Funilaria, Auto-Elétrica, Borracharia )
251;Desentupidoras
256;Serviços de Vidraçaria
257;Serviços de Tapeçaria / Costura
254;Serviços de Marcenaria
255;Serviços de Serralheria ( Portão, Grades, Janelas, Etc. )
249;Assistência Técnica
107;Artigo e Instrumento Musical ( Cordas, Violão, Flautas, Etc. )
182;Serviços Postais
183;Água / Esgoto
180;Cemitério
181;Funerária
186;Telefonia Fixa ( Plano de Expansão / Compra e Venda / Locação )
187;Telefonia Celular
184;Gás Encanado
185;Energia Elétrica
188;Telefonia Comunitária ( PABX, DDR, Etc. )
6;Açúcar / Mel
99;Pneu
98;Artigos de Enxoval ( Cama / Mesa e Banho )
168;Construção / Reforma / Montagem / Acabamento
229;CARTÕES DE DESCONTOS
8;Bebidas Alcoólicas
91;Artigo de audiovisual ( Fita Cassete, Disco, Fita de Vídeo, CD )
90;Acessório Para Vestuário ( Bolsa, Cinto, Chapéu, guarda-chuva, Jóia, Bijuteria, Luva, Etc. )
93;Fogão e Microondas
92;Máquina de Lavar Roupa / Louça e Secadora
223;Canil / Pet Shop / Outros Estabelecimentos Que Comercializam Animais
94;Geladeira e Freezer
97;Eletroportáteis ( Batedeira, Liqüidificador, Espremedor de Frutas, Etc. )
96;Televisão / Vídeo Cassete / Filmadora / Video-Laser
10;Café
13;Conserva Animal (atum, sardinha, apresuntado, alite, feijoada, patê, etc.)
12;Carnes e Derivados (Hambúrguer congelado cru, peitos de frango temperados congelados, embutidos: salame, mortadela, salsicha, etc.)
15;Doces prontos (frutas em calda, cristalizadas, em geleias ou pastas; sorvetes, bala, suspiro, docinhos para festas enlatados, cristais de gengibre).
17;Farináceos (fubá, polvilho, etc.)
114;Charutaria ( Cigarro, Tabaco, Cachimbo, Etc. )
19;Leite e derivados (bebidas lácteas, iogurte, queijo, manteiga, creme de leite - normal, em pó e light)
18;Grãos, cereais (feijão, grão de bico, arroz, farelo de trigo, sucrilho, aveia, granola, creme de arroz)
117;Ferramenta ( Alicate, Cortador de Grama, Furadeira, Pá, Pincel, Etc. )
116;Carpete / Tapete ( Nylon, Madeira )
111;Purificador de Água / Filtro
